scored_at,id,project_name,district,beds,price,psf,mmr,score_1000,score_version
2026-06-07,60147887,Botanique at Bartley,D19,2,1480000,2052.7,1532.0,711,pre-3.10
2026-06-07,500082966,Botanique at Bartley,D19,2,1488888,2065.03,1531.0,704,pre-3.10
2026-06-07,500032098,Botanique at Bartley,D19,2,1488888,2065.03,1531.0,704,pre-3.10
2026-06-07,500087981,Botanique at Bartley,D19,2,1325000,2016.74,1533.8,723,pre-3.10
2026-06-07,25560210,Botanique at Bartley,D19,1,938000,1894.95,1552.1,828,pre-3.10
2026-06-07,500151895,Botanique at Bartley,D19,2,1550000,2117.49,1527.0,676,pre-3.10
2026-06-07,25639085,Botanique at Bartley,D19,2,1750000,2058.82,1532.5,714,pre-3.10
2026-06-07,500125396,Botanique at Bartley,D19,3,2280000,2462.2,1498.9,449,pre-3.10
2026-06-07,500071085,Botanique at Bartley,D19,2,1350000,2054.79,1530.9,703,pre-3.10
2026-06-07,500123235,Botanique at Bartley,D19,1,915888,1771.54,1565.0,881,pre-3.10
2026-06-07,500116936,Botanique at Bartley,D19,3,2298000,2398.75,1503.5,488,pre-3.10
2026-06-07,23860072,Botanique at Bartley,D19,1,939000,1896.97,1552.0,827,pre-3.10
2026-06-07,25606660,Botanique at Bartley,D19,2,1550000,2117.49,1527.0,676,pre-3.10
2026-06-07,500105397,Botanique at Bartley,D19,2,1350000,2054.79,1530.9,703,pre-3.10
2026-06-07,500149272,Botanique at Bartley,D19,2,1350000,2054.79,1530.9,703,pre-3.10
2026-06-07,500060652,Botanique at Bartley,D19,2,1580000,2158.47,1523.8,651,pre-3.10
2026-06-07,500158029,Botanique at Bartley,D19,2,1647000,2250.0,1516.9,598,pre-3.10
2026-06-07,60080752,Botanique at Bartley,D19,1,933000,1884.85,1553.1,832,pre-3.10
2026-06-07,60189652,Botanique at Bartley,D19,1,933000,1884.85,1553.1,832,pre-3.10
2026-06-07,60022003,Botanique at Bartley,D19,2,1385000,2108.07,1526.7,674,pre-3.10
2026-06-07,500151092,Botanique at Bartley,D19,2,1528000,2087.43,1529.3,692,pre-3.10
2026-06-07,500021710,Botanique at Bartley,D19,3,2350000,2453.03,1499.7,456,pre-3.10
2026-06-07,500101206,Botanique at Bartley,D19,3,2380000,2570.19,1491.4,388,pre-3.10
