scored_at,lens,id,project_name,district,beds,price,psf,score,rank_norm,lens_version
2026-08-12,mmr,60179694,The Calypso,D16,3,2499999,2234.14,193,0.0147,3.12+ba8d8abe
2026-08-12,mmr,500223322,Laguna 88,D16,3,1800000,1337.3,429,0.3627,3.12+ba8d8abe
2026-08-12,mmr,500231162,The Bayshore,D16,3,2100000,1696.28,409,0.3099,3.12+ba8d8abe
2026-08-12,exit_demand,500231162,The Bayshore,D16,3,2100000,1696.28,86.1,,exit-1.0+a5c8065a
2026-08-12,mmr,500214292,Limau Park,D16,3,2450000,1929.13,193,0.0147,3.12+ba8d8abe
2026-08-12,mmr,500231135,The Clearwater,D16,3,1999999,1498.13,609,0.7691,3.12+ba8d8abe
2026-08-12,exit_demand,500231135,The Clearwater,D16,3,1999999,1498.13,89.5,,exit-1.0+a5c8065a
2026-08-12,mmr,24771854,Sea Pavilion Residences,D16,3,1880000,2079.65,428,0.3588,3.12+ba8d8abe
2026-08-12,mmr,500222872,Laguna 88,D16,3,1888000,1414.23,384,0.2507,3.12+ba8d8abe
2026-08-12,mmr,500113101,The Bayshore,D16,3,1980000,1672.3,436,0.3784,3.12+ba8d8abe
2026-08-12,exit_demand,500113101,The Bayshore,D16,3,1980000,1672.3,86.1,,exit-1.0+a5c8065a
2026-08-12,mmr,500222560,Aquarius By The Park,D16,3,1850000,1291.9,654,0.8537,3.12+ba8d8abe
2026-08-12,exit_demand,500222560,Aquarius By The Park,D16,3,1850000,1291.9,82.1,,exit-1.0+a5c8065a
2026-08-12,mmr,500230232,Stratford Court,D16,3,1600000,1270.85,548,0.6234,3.12+ba8d8abe
2026-08-12,exit_demand,500230232,Stratford Court,D16,3,1600000,1270.85,89.3,,exit-1.0+a5c8065a
2026-08-12,mmr,60158079,Tropicana Condominium,D16,4,2400000,1448.4,385,0.2543,3.12+ba8d8abe
2026-08-12,mmr,500181988,The Bayshore,D16,4,2398000,1674.58,459,0.4292,3.12+ba8d8abe
2026-08-12,exit_demand,500181988,The Bayshore,D16,4,2398000,1674.58,86.1,,exit-1.0+a5c8065a
2026-08-12,mmr,500230347,Laguna 88,D16,3,1740000,1469.59,329,0.1513,3.12+ba8d8abe
2026-08-12,mmr,23298420,The Glades,D16,3,1850000,1868.69,583,0.7116,3.12+ba8d8abe
2026-08-12,exit_demand,23298420,The Glades,D16,3,1850000,1868.69,67.3,,exit-1.0+a5c8065a
2026-08-12,mmr,500230054,The Bayshore,D16,3,1890000,1526.66,546,0.6186,3.12+ba8d8abe
2026-08-12,exit_demand,500230054,The Bayshore,D16,3,1890000,1526.66,86.1,,exit-1.0+a5c8065a
2026-08-12,mmr,500218759,Palmwoods,D16,3,1580000,1384.75,463,0.4375,3.12+ba8d8abe
2026-08-12,exit_demand,500218759,Palmwoods,D16,3,1580000,1384.75,80.7,,exit-1.0+a5c8065a
2026-08-12,mmr,500229996,The Bayshore,D16,4,2400000,1675.98,453,0.4155,3.12+ba8d8abe
2026-08-12,exit_demand,500229996,The Bayshore,D16,4,2400000,1675.98,86.1,,exit-1.0+a5c8065a
2026-08-12,mmr,500217611,East Meadows,D16,3,1700000,1398.03,642,0.8338,3.12+ba8d8abe
2026-08-12,exit_demand,500217611,East Meadows,D16,3,1700000,1398.03,93.7,,exit-1.0+a5c8065a
2026-08-12,mmr,500229059,Bedok Court,D16,3,2480000,1092.03,353,0.1928,3.12+ba8d8abe
