project_name,district,region,beds,baths,price,psf,sqft,mmr,score_1000,scored_at,tenure,built_year,floor_level,facing,mrt_info,total_units,first_seen,last_seen,times_seen,last_price_change,price_trend,lowest_price,drop_from_peak_pct,status,url
The Waterside,D15,East Coast (D15-16),3,4,5380000,2511.67,2142.0,1463.8,202,2026-06-07,Freehold,1993,,,4 min (290 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,5380000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-waterside-500131741
Peach Garden,D15,East Coast (D15-16),3,4,5300000,1916.12,2766.0,1459.7,181,2026-06-07,Freehold,1970,,,5 min (450 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,5300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-peach-garden-60123143
Meyer Mansion,D15,East Coast (D15-16),3,4,4768000,3187.17,1496.0,1452.4,148,2026-06-07,Freehold,2024,,,7 min (550 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4768000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-meyer-mansion-500093884
Meyer Mansion,D15,East Coast (D15-16),3,4,4750000,3395.28,1399.0,1447.0,126,2026-06-07,Freehold,2024,,,7 min (550 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4750000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-meyer-mansion-25318480
The Waterside,D15,East Coast (D15-16),3,4,4700000,2194.21,2142.0,1471.9,249,2026-06-07,Freehold,1993,,,4 min (330 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4700000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-waterside-500064941
The Line@Tanjong Rhu,D15,East Coast (D15-16),3,2,4600000,1600.56,2874.0,1501.4,470,2026-06-07,Freehold,2016,,,2 min (140 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4600000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-line-tanjong-rhu-60136822
The Seafront on Meyer,D15,East Coast (D15-16),3,3,4350000,2711.97,1604.0,1485.2,340,2026-06-07,Freehold,2011,,,3 min (210 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-seafront-on-meyer-60224892
The Seafront on Meyer,D15,East Coast (D15-16),3,3,4300000,2680.8,1604.0,1485.7,345,2026-06-07,Freehold,2011,,,3 min (210 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-seafront-on-meyer-60201382
The Seafront on Meyer,D15,East Coast (D15-16),3,3,4300000,2680.8,1604.0,1485.7,345,2026-06-07,Freehold,2011,,,3 min (210 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-seafront-on-meyer-60201444
Amber Point,D15,East Coast (D15-16),3,4,4200000,2485.21,1690.0,1466.3,216,2026-06-07,Freehold,1991,,,10 min (810 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,4200000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-point-500148503
Amber Point,D15,East Coast (D15-16),3,4,4170000,2500.0,1668.0,1466.3,216,2026-06-07,Freehold,1991,,,10 min (810 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,4170000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-point-25503049
The Continuum,D15,East Coast (D15-16),3,2,4091000,2815.55,1453.0,1493.0,401,2026-06-07,Freehold,2027,,,10 min (830 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,4091000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-continuum-500127183
The Seafront on Meyer,D15,East Coast (D15-16),3,3,4080000,2526.32,1615.0,1488.7,367,2026-06-07,Freehold,2011,,,3 min (210 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4080000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-seafront-on-meyer-500124508
Meier Suites,D15,East Coast (D15-16),3,4,4050000,2252.5,1798.0,1488.1,363,2026-06-07,Freehold,2011,,,5 min (430 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,4050000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-meier-suites-60047695
The Esta,D15,East Coast (D15-16),3,3,3880000,2650.27,1464.0,1482.5,321,2026-06-07,Freehold,2008,,,8 min (640 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3880000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-esta-25631209
The Line@Tanjong Rhu,D15,East Coast (D15-16),3,2,3872000,2193.77,1765.0,1495.4,421,2026-06-07,Freehold,2016,,,2 min (140 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,3872000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-line-tanjong-rhu-500135716
Grand Dunman,D15,East Coast (D15-16),3,3,3800000,3460.84,1098.0,1492.3,396,2026-06-07,99-year Leasehold,2028,,,2 min (170 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,3800000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-grand-dunman-500162625
Pebble Bay,D15,East Coast (D15-16),3,2,3790000,2001.06,1894.0,1468.3,227,2026-06-07,99-year Leasehold,1998,,,3 min (270 m) from TE23 Tanjong Rhu MRT Station,,2026-06-07,2026-06-07,1,,new,3790000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-pebble-bay-500125352
Pebble Bay,D15,East Coast (D15-16),3,3,3790000,2001.06,1894.0,1468.3,227,2026-06-07,99-year Leasehold,1998,,,3 min (270 m) from TE23 Tanjong Rhu MRT Station,,2026-06-07,2026-06-07,1,,new,3790000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-pebble-bay-500082687
Amber House,D15,East Coast (D15-16),3,3,3684780,3030.25,1216.0,1498.2,443,2026-06-07,Freehold,2029,,,9 min (750 m) from TE26 Marine Parade MRT Station,,2026-06-07,2026-06-07,1,,new,3684780,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-house-500083470
Amber House,D15,East Coast (D15-16),3,2,3684780,3030.25,1216.0,1498.2,443,2026-06-07,Freehold,2029,,,9 min (750 m) from TE26 Marine Parade MRT Station,,2026-06-07,2026-06-07,1,,new,3684780,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-house-500022977
Parkshore,D15,East Coast (D15-16),3,4,3650000,2188.25,1668.0,1482.4,320,2026-06-07,Freehold,1995,,,4 min (350 m) from TE23 Tanjong Rhu MRT Station,,2026-06-07,2026-06-07,1,,new,3650000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-parkshore-60223500
Amber House,D15,East Coast (D15-16),3,3,3643838,2996.58,1216.0,1499.6,455,2026-06-07,Freehold,2029,,,9 min (750 m) from TE26 Marine Parade MRT Station,,2026-06-07,2026-06-07,1,,new,3643838,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-house-60029397
St Patrick's Residences,D15,East Coast (D15-16),3,3,3638000,2431.82,1496.0,1495.5,422,2026-06-07,Freehold,2013,,,1 min (100 m) from TE27 Marine Terrace MRT Station,,2026-06-07,2026-06-07,1,,new,3638000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-st-patrick-s-residences-500144580
The Meyerise,D15,East Coast (D15-16),3,3,3608000,2840.94,1270.0,1486.1,348,2026-06-07,Freehold,2014,,,10 min (860 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3608000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-meyerise-500157821
Nyon,D15,East Coast (D15-16),3,2,3600000,2275.6,1582.0,1493.5,406,2026-06-07,Freehold,2022,,,9 min (740 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3600000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-nyon-500146440
Nyon,D15,East Coast (D15-16),3,2,3600000,2275.6,1582.0,1493.5,406,2026-06-07,Freehold,2022,,,9 min (740 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3600000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-nyon-500144758
